"","namestmin","r2","es"
"12786","w_49_276",0.420026073171629,2.7874301511036
"12521","w_48_275.5",0.418510760094761,2.76143513341324
"12255","w_47_275",0.416582137169793,2.78870994711183
"13313","w_51_277",0.416454482639409,2.78981204151222
"12522","w_48_276.5",0.413986371918356,2.72295601404602
"13050","w_50_276.5",0.41373074103859,2.74919081117806
"12256","w_47_276",0.411964062853103,2.69271740603293
"13049","w_50_275.5",0.411215030417864,2.73101113700686
"13051","w_50_277.5",0.410806681053435,2.73276164980041
"10102","w_39_281",0.409920378513298,2.7701746214668
"9828","w_38_281.5",0.409848671228947,2.78819654289591
"11989","w_46_275.5",0.409836469964285,2.72075185602261
"9553","w_37_282",0.40969468088382,2.76138935559097
"12785","w_49_275",0.409154613325932,2.70064365478192
"9552","w_37_281",0.408931795528608,2.79894242927245
"9827","w_38_280.5",0.408768531349807,2.77515835056589
"9276","w_36_281.5",0.408673420321023,2.76930452864471
"13574","w_52_276.5",0.408422970748439,2.73545434587539
"12787","w_49_277",0.407836244150067,2.68726541752338
"12257","w_47_277",0.407508306506695,2.67263848291076
"12520","w_48_274.5",0.406248657789645,2.71447480601022
"13575","w_52_277.5",0.405896893602503,2.71949831270461
"13312","w_51_276",0.405594330535707,2.69949581721167
"13572","w_52_274.5",0.405312022890739,2.6830853267469
"11991","w_46_277.5",0.405110734430397,2.65289548348001
"11990","w_46_276.5",0.405074117341605,2.63911500076268
"9551","w_37_280",0.405046380145057,2.79850632700352
"11988","w_46_274.5",0.404823769020816,2.74421960370276
"13311","w_51_275",0.404459167001203,2.66209656975458
"9275","w_36_280.5",0.40439339858865,2.80984337747982
"14093","w_54_275.5",0.404222161170792,2.70270080083685
"12788","w_49_278",0.40391165129847,2.67616353213791
"8998","w_35_281",0.403674007810672,2.76746960504006
"10649","w_41_282",0.4032261958233,2.73123715955918
"13834","w_53_276",0.403074348128054,2.680607113473
"9277","w_36_282.5",0.40296805760947,2.65615629597307
"11722","w_45_276",0.402817204501953,2.66697311896121
"13310","w_51_274",0.402720600999237,2.64669045352701
"10377","w_40_282.5",0.402445457653828,2.73434641047517
"11723","w_45_277",0.402317995500772,2.61596833963401
"13048","w_50_274.5",0.402188655364685,2.63003389310402
"8722","w_34_283.5",0.402161691843491,2.65872558745729
"12524","w_48_278.5",0.401969252361526,2.66599417304075
"10104","w_39_283",0.40187284170076,2.69879590777994
"12523","w_48_277.5",0.401056701222671,2.63224967109846
"13833","w_53_275",0.400542363273514,2.65930923614844
"8999","w_35_282",0.400497391540533,2.63816829677569
"13836","w_53_278",0.400186238217084,2.64996089961238
"10376","w_40_281.5",0.400064083968424,2.6724239655942
"11454","w_44_276.5",0.400042831441826,2.64619790964985
"13314","w_51_278",0.400003203666249,2.65983816903451
"13832","w_53_274",0.39980088310256,2.68994613724784
"13573","w_52_275.5",0.399669728606983,2.64066348633479
"13047","w_50_273.5",0.399481703784799,2.65012279236084
"10103","w_39_282",0.399409683710687,2.67891368734873
"12784","w_49_274",0.399019080609614,2.63733991863344
"14351","w_55_275",0.398951757856761,2.71210412735103
"12258","w_47_278",0.39879071804814,2.61601805636287
"9829","w_38_282.5",0.398756183956764,2.64417699753618
"9000","w_35_283",0.398609083484317,2.6254865305904
"14096","w_54_278.5",0.398263998861463,2.57693444181566
"13835","w_53_277",0.398193849381803,2.67062864927307
"14355","w_55_279",0.398172500930833,2.56719899842869
"8442","w_33_283",0.398104107618264,2.6150613641887
"11721","w_45_275",0.39785143462139,2.67654586149823
"13571","w_52_273.5",0.397090456698633,2.65144378150853
"11181","w_43_273",0.396722066827167,2.59154419134866
"9279","w_36_284.5",0.396177627781279,2.62534774256649
"11724","w_45_278",0.396081339225799,2.5576067919679
"11451","w_44_273.5",0.39596406233946,2.60461561344445
"8721","w_34_282.5",0.395513279303317,2.59757429664901
"9830","w_38_283.5",0.395332572824564,2.59395368615485
"10375","w_40_280.5",0.395262171344411,2.57655115096116
"8443","w_33_284",0.395161590030045,2.60056923695775
"14092","w_54_274.5",0.395020233292541,2.66542262931527
"14352","w_55_276",0.394794327681471,2.64676957296831
"8720","w_34_281.5",0.394437690069892,2.61524571003348
"12254","w_47_274",0.394225653493771,2.66735049057534
"13576","w_52_278.5",0.394172964150703,2.59254437700803
"10101","w_39_280",0.393712594259296,2.57336666094743
"11455","w_44_277.5",0.393597115400275,2.52797037076012
"13309","w_51_273",0.39351612340973,2.64877755058078
"14094","w_54_276.5",0.393233599127459,2.62064528225616
"11720","w_45_274",0.393204044963283,2.59565937371179
"12259","w_47_279",0.39272155488251,2.56870028547729
"14095","w_54_277.5",0.392686623591276,2.60411176088399
"13052","w_50_278.5",0.392619382144936,2.59634137079095
"13837","w_53_279",0.392518221327984,2.52772786578791
"14097","w_54_279.5",0.392505223385735,2.5235636136018
"9001","w_35_284",0.392216069924862,2.56000991043993
"10647","w_41_280",0.392079962719324,2.5176640770346
"9555","w_37_284",0.39193698676375,2.57566888898245
"9554","w_37_283",0.39185266241159,2.53953813337396
"9002","w_35_285",0.391206372764991,2.59887402302514
"8161","w_32_282.5",0.391125083819067,2.57912921652159
"14354","w_55_278",0.391107317032089,2.53551226442235
"14612","w_56_278.5",0.390982240889935,2.52240822790293
"11185","w_43_277",0.390829681190636,2.55329963646218
"10911","w_42_273.5",0.390535869265958,2.5473238766529
"12789","w_49_279",0.390343057800725,2.58091478025281
"11453","w_44_275.5",0.390310863124607,2.61997690691433
"14608","w_56_274.5",0.390266113563489,2.67971306095933
"14091","w_54_273.5",0.390201448365387,2.65019458587641
