"","namestmax","r2","es"
"9009","w_35_291",0.0734014532403247,0.23926572384675
"2049","w_11_295",0.0733579063809164,0.216307739115897
"1316","w_9_180",0.0732287206389656,0.195468125365188
"4720","w_20_285.5",0.0730940063429713,0.221302579732015
"813","w_7_279",0.0730881078411404,0.174355970297944
"6753","w_27_291",0.0728781947835504,0.230525593349447
"702","w_7_178",0.0728245521639299,0.184357471471526
"90","w_5_180",0.0726996559387317,0.182853521368621
"8733","w_34_293.5",0.0726834294261153,0.231925377863116
"8450","w_33_290",0.0726243511458302,0.238985648612981
"8168","w_32_289.5",0.0726209003047562,0.240619299460749
"1583","w_10_147.5",0.0726083983649873,0.215265627619689
"9011","w_35_293",0.0725657392599003,0.234928815487111
"7041","w_28_293.5",0.072494970120579,0.222451548386768
"2952","w_14_295.5",0.0724911267087623,0.213932107730357
"7609","w_30_293.5",0.0724403009298887,0.223933964637427
"4428","w_19_287",0.0721700357603584,0.218395191488314
"4735","w_20_299.5",0.0721090498524593,0.205383607656069
"5304","w_22_285.5",0.0720864862931927,0.225213940174063
"7320","w_29_289",0.0719565538863139,0.235239891207743
"6176","w_25_289",0.0718962011391032,0.227960701262054
"8173","w_32_293.5",0.0718830526787517,0.2257816710741
"5597","w_23_288",0.0718786376934836,0.22638964535291
"6756","w_27_294",0.0718481660359678,0.218819876177202
"2351","w_12_295.5",0.0718193358797763,0.212388477999701
"9008","w_35_290",0.0717999837399298,0.236053654403519
"6754","w_27_292",0.0717547225418486,0.22537756303816
"5887","w_24_288.5",0.0717187443086981,0.2258555623571
"1380","w_9_239",0.0717065988741287,-0.227617099558922
"7040","w_28_292.5",0.0716318335658291,0.223341118033764
"1280","w_9_148",0.071616278897202,0.209364209553062
"1317","w_9_181",0.0715921666024817,0.196903087909119
"1278","w_9_146",0.0715658613058535,0.21355441892354
"7886","w_31_289",0.0715240025564926,0.23747799641199
"3850","w_17_299",0.0715209256369733,0.19983715639491
"1119","w_8_279.5",0.0714979856902729,0.174618416346545
"5885","w_24_286.5",0.0714898776277328,0.229184375271011
"394","w_6_177.5",0.0714548536121806,0.177153957361105
"1074","w_8_238.5",0.0713205899544502,-0.224800236497985
"9287","w_36_291.5",0.0713057115991069,0.234788280858047
"1426","w_9_280",0.0712940527551883,0.17960611651217
"3549","w_16_295.5",0.0712792982783833,0.209296791280185
"5015","w_21_288",0.0712463766099474,0.221957034190171
"6463","w_26_288.5",0.0712134925253129,0.229040019506299
"5025","w_21_297",0.0711528327306927,0.204256689114939
"7326","w_29_294",0.071080048165135,0.218695524416484
"5318","w_22_298.5",0.0710770227262281,0.206777665743712
"1007","w_8_177.5",0.0710629479526417,0.184947165853196
"6464","w_26_289.5",0.0710510735307669,0.226454259000179
"1620","w_10_180.5",0.0710237527372082,0.194739570353104
"841","w_7_304",0.0709843061727722,0.160345714548706
"5886","w_24_287.5",0.0709713235395162,0.226717186634004
"6175","w_25_288",0.0709251244295014,0.226548153280157
"5319","w_22_299.5",0.070907431803071,0.207823148157393
"1008","w_8_178.5",0.0708693251471789,0.184234345937985
"9288","w_36_292.5",0.0708442802038817,0.233091581164
"6467","w_26_291.5",0.0708378484324728,0.223317636290193
"5595","w_23_286",0.0707737048855491,0.223745180260592
"6466","w_26_290.5",0.0707560850229969,0.224186099984684
"2349","w_12_293.5",0.0707395786191491,0.212935579027417
"1742","w_10_291.5",0.0707365552674627,0.198692358739158
"768","w_7_238",0.0707343654553967,-0.209683564712284
"9286","w_36_290.5",0.0707070295803855,0.232773760975346
"3836","w_17_286",0.0706649580408144,0.207334760360528
"1683","w_10_238.5",0.0706628006936141,-0.224530712480663
"4719","w_20_284.5",0.0706194954231152,0.215071519217918
"4722","w_20_287.5",0.0705977411486248,0.216578746120737
"669","w_7_148",0.0705112546241552,0.199641252007479
"6750","w_27_289",0.0705105364242665,0.228007939084793
"7042","w_28_294.5",0.0704265652998293,0.215141883441219
"6468","w_26_292.5",0.0702141565779579,0.219531728919954
"6755","w_27_293",0.0701473525816693,0.217690189576333
"7892","w_31_294",0.070124302822225,0.219419225855884
"842","w_7_305",0.070017084362509,0.161401646748132
"6470","w_26_294.5",0.0699870665437349,0.210940915421582
"198","w_5_279",0.0699747122982968,0.156787782848759
"1313","w_9_178",0.0698498273748058,0.186208690310859
"1986","w_11_238",0.0698304116836571,-0.222841750618195
"4133","w_18_287.5",0.0698076769271718,0.210741857312067
"1580","w_10_144.5",0.0697954301612053,0.214552174862966
"8728","w_34_289.5",0.0697072404311789,0.231553601661985
"1379","w_9_238",0.0696878659626763,-0.219028744413534
"3537","w_16_284.5",0.0696720104101205,0.201115739714686
"2651","w_13_294",0.0695792821987964,0.208284711975322
"9284","w_36_289.5",0.0695753225524062,0.233500250313741
"8448","w_33_289",0.0695621303171875,0.232584140632051
"4146","w_18_299.5",0.069559181176218,0.196092195051734
"5317","w_22_297.5",0.0694510320482927,0.200487279803325
"6181","w_25_293",0.0694493969881846,0.21550741148924
"4425","w_19_284",0.0694185100543481,0.209322566695362
"5012","w_21_285",0.0694083018929729,0.214687171504602
"6469","w_26_293.5",0.0694063998196325,0.213769523769187
"337","w_6_125.5",0.0693568923574156,0.203942314924367
"7603","w_30_288.5",0.0693462551056861,0.230369080938415
"3538","w_16_285.5",0.069337738730651,0.20079306100702
"200","w_5_280",0.0693118312412929,0.156829167928398
"6180","w_25_292",0.0693042046556864,0.217632646793911
"1618","w_10_179.5",0.0692644037182356,0.189302472516644
"4132","w_18_286.5",0.0691958073229578,0.206779095271674
"701","w_7_177",0.0691873513019542,0.176736366077737
"3239","w_15_284",0.0691817120076063,0.197372209555906
"9012","w_35_294",0.0691758862293518,0.2242188365962
"1314","w_9_179",0.0691583587225651,0.185154179755598
"8454","w_33_294",0.06914388939507,0.220360802890126
"9289","w_36_293.5",0.0691206061531634,0.227173778527377
"398","w_6_180.5",0.0689598661329864,0.180737685458085
"4723","w_20_288.5",0.0689512435928872,0.214415752959332
"1073","w_8_237.5",0.068908525330601,-0.204826424049722
"706","w_7_181",0.0688949128477452,0.186073788410586
"9564","w_37_292",0.0688705890853821,0.229769399045671
"1921","w_11_179",0.0688078906678699,0.191721803672285
"9563","w_37_291",0.0687731486541879,0.22852927191897
"1427","w_9_281",0.0687685144327824,0.17107356414782
"7610","w_30_294.5",0.0687658463090532,0.214212523376425
"1682","w_10_237.5",0.0687586448559607,-0.217045271365019
"2951","w_14_294.5",0.0687064479507146,0.206161600082486
"2348","w_12_292.5",0.0686905721664081,0.20333286185047
"211","w_5_290",0.0686644138710951,0.162961964970126
"6179","w_25_291",0.0686476082692231,0.216768032528367
"6757","w_27_295",0.0686044002395229,0.207396767211587
"9562","w_37_290",0.0686009711652353,0.230413458106314
"6749","w_27_288",0.0685928586605328,0.224524271788371
"1582","w_10_146.5",0.0685672499881936,0.208355450135255
"5892","w_24_292.5",0.0685606750508287,0.213827599707309
"5594","w_23_285",0.0685434171355273,0.218324729784395
"1617","w_10_178.5",0.0685368082576785,0.187496718117489
"3254","w_15_298",0.0684834601109577,0.196200916957569
"970","w_8_143.5",0.0684415228792108,0.20630055571568
"2653","w_13_296",0.0684342766114902,0.201831981792826
"8167","w_32_288.5",0.0684105639028134,0.229155601057623
"357","w_6_143.5",0.0683647202472404,0.19413267604707
"4438","w_19_296",0.0683431015892384,0.200221798068549
"3834","w_17_284",0.0683230266666497,0.201269702366027
"4429","w_19_288",0.0682770869361643,0.209028523093645
"6173","w_25_286",0.0682531747501728,0.222701180243516
"4732","w_20_296.5",0.0682313884569542,0.198357168490366
"6462","w_26_287.5",0.0681816088286753,0.221725123237826
"3838","w_17_288",0.068153253869361,0.205117962375605
"2046","w_11_292",0.0681438107132309,0.196944703727468
"216","w_5_295",0.0680992896622974,0.197005580382027
"7327","w_29_295",0.0680966782512553,0.210762123314868
"1378","w_9_237",0.0680824427257167,-0.204546402931014
"7035","w_28_288.5",0.068078271412397,0.224010356683217
"6174","w_25_287",0.0680539757767062,0.221362719254043
"3539","w_16_286.5",0.0680501933241012,0.198725192323726
"523","w_6_294.5",0.0680397955184627,0.200249770558065
"2954","w_14_297.5",0.0680053441057069,0.197318262294175
"1411","w_9_267",0.0679945075452436,-0.201264032006918
"3552","w_16_298.5",0.0679662460652984,0.192481866521786
"5029","w_21_300",0.0679591341364258,0.198235139053887
"3553","w_16_299.5",0.0677957493429967,0.187792426817382
"3536","w_16_283.5",0.0677602786068011,0.197530777576066
"831","w_7_295",0.0677317812622245,0.205020573356852
"1923","w_11_180",0.0676245479321851,0.189041728524971
"3541","w_16_288.5",0.0675933294412222,0.202184829617143
"1147","w_8_304.5",0.067569790317927,0.159039014766309
"9565","w_37_293",0.0675449936993231,0.225414447814559
"5888","w_24_289.5",0.0675444411626251,0.214806795155957
"4142","w_18_295.5",0.0675435657936736,0.199301170999985
"524","w_6_295.5",0.0674733051335228,0.201697341312663
"5884","w_24_285.5",0.0674666272455359,0.217224215125916
"6182","w_25_294",0.0674598781433596,0.205610450100712
"9006","w_35_289",0.0674448360734702,0.228654138204249
"5893","w_24_293.5",0.0674347908470581,0.20707411636904
"8174","w_32_294.5",0.0673744708776587,0.213889035872746
"5609","w_23_299",0.0673315617422052,0.200134284550183
"2223","w_12_179.5",0.0673092733830223,0.191265896326217
"4430","w_19_289",0.0673051458315035,0.208810963487204
"5307","w_22_288.5",0.0673009859864795,0.212942262252562
"5598","w_23_289",0.0672740310650217,0.212620709095957
"8727","w_34_288.5",0.0671836312316955,0.229263674363476
"508","w_6_280.5",0.0671509369516153,0.156782467389881
"5891","w_24_291.5",0.0670642390679479,0.210965658260617
"1146","w_8_303.5",0.0670399252848451,0.151657184318782
"156","w_5_240",0.0669948158978901,-0.210891615300921
"3257","w_15_300",0.0669736006552636,0.182185722661506
"5011","w_21_284",0.0669304590165047,0.208254795266874
"9838","w_38_290.5",0.0667828925725651,0.226224567162799
"6178","w_25_290",0.0667750217808931,0.213220740251081
"816","w_7_281",0.0667447491706848,0.161950782203666
"5608","w_23_298",0.0667164138973224,0.196031516795175
"1887","w_11_148",0.0667119023328141,0.206426871462763
"4135","w_18_289.5",0.0666572245953811,0.205745079603882
"3837","w_17_287",0.0666363819126099,0.198310027651082
"4134","w_18_288.5",0.0666215834393964,0.203430136640846
"1075","w_8_239.5",0.0666151591376606,-0.215536591221444
"229","w_5_306",0.0665692063807113,0.15105918246791
"3241","w_15_286",0.0665321638520427,0.191479111933326
"5603","w_23_293",0.0665271360753608,0.205411000538835
"9839","w_38_291.5",0.0665260438919327,0.223861666446703
"86","w_5_177",0.0664977039391702,0.166160770712161
"5316","w_22_296.5",0.0664961659842999,0.193557563206951
"1312","w_9_177",0.066446286579803,0.183583475925521
"843","w_7_306",0.0664080748539499,0.159361152671524
"1012","w_8_181.5",0.0663864318192177,0.184606765817191
"7043","w_28_295.5",0.0663144615569191,0.20319030614168
"1581","w_10_145.5",0.0663116506148056,0.20469931896894
"5602","w_23_292",0.0663049147575969,0.207260964227102
"4443","w_19_300",0.0662727319174846,0.190939711321444
"3251","w_15_295",0.0662570966281618,0.198492582399675
"7885","w_31_288",0.0662549488931281,0.22194387751686
"227","w_5_304",0.0662347516579012,0.144569444906153
"1132","w_8_290.5",0.0661927794894731,0.170411250613892
"464","w_6_240.5",0.0661874479842978,-0.206611310238208
"3489","w_16_240.5",0.0661863908725485,-0.21915257730074
"3242","w_15_287",0.0661214893129682,0.191858049539077
"1579","w_10_143.5",0.0661152317361567,0.205609640331023
"6183","w_25_295",0.0660670946108732,0.198513363489735
"769","w_7_239",0.0660556069967507,-0.213790493248908
"3852","w_17_300",0.0660241186235544,0.184611294554037
"8447","w_33_288",0.0660040313298005,0.225737494724268
"7893","w_31_295",0.0659883664674731,0.208552867534855
"1730","w_10_280.5",0.0659874314917758,0.17016637337398
"975","w_8_148.5",0.0659788738878737,0.188884625958792
"3839","w_17_289",0.0659771388757155,0.200355224985275
"5303","w_22_284.5",0.0659688565295283,0.208191973389151
"7034","w_28_287.5",0.0659143851472149,0.219184823704542
"1616","w_10_177.5",0.0658998602520363,0.185358460996232
"5611","w_23_300",0.0658207751924155,0.197283046691109
"8734","w_34_294.5",0.0657440255007499,0.212758348445652
"3192","w_15_241",0.0657344868378953,-0.215595627923742
"9840","w_38_292.5",0.0657250560177708,0.2221806986745
"1886","w_11_147",0.065723255922209,0.200756956559163
"2222","w_12_178.5",0.0656833896963318,0.191248926185634
"4718","w_20_283.5",0.0656376659367692,0.202352962338888
"85","w_5_176",0.0656185679648579,0.162836767426505
"461","w_6_238.5",0.0655537714049151,-0.19951576028295
"7319","w_29_288",0.0655528282594161,0.219071884149871
"2654","w_13_297",0.0654512455431042,0.192096061284946
"6748","w_27_287",0.065418467672561,0.216198047814637
"5600","w_23_290",0.0653379875615911,0.207227611631136
"190","w_5_271",0.0653105584272378,-0.183728970727954
"5895","w_24_295.5",0.0652991569479007,0.193881576563236
"7611","w_30_295.5",0.0652774766637796,0.205075570297051
"2943","w_14_287.5",0.0652697362905219,0.187390130730466
"154","w_5_239",0.0652557725911326,-0.196116905942652
"1584","w_10_148.5",0.0652553811631335,0.199898872500461
"2287","w_12_237.5",0.065249780054733,-0.211978661724154
"771","w_7_240",0.0652167618740991,-0.208085892328148
"3555","w_16_300.5",0.0652020757291516,0.179310250628471
"3244","w_15_289",0.0651785555597872,0.192717253711762
"31","w_5_127",0.0651611653440392,0.186735412765978
"6461","w_26_286.5",0.0651470253517141,0.215359746864838
"462","w_6_239.5",0.0651456405989687,-0.209048241980879
"1714","w_10_266.5",0.065119420817326,-0.197047444529367
"3846","w_17_295",0.0651168310317215,0.193109110583762
"1920","w_11_178",0.065116331342839,0.186923246658904
"5607","w_23_297",0.0651125506449933,0.190301161800786
"1715","w_10_267.5",0.0650566350139927,-0.199803945109379
"5308","w_22_289.5",0.0650255425692504,0.204987514447531
"5016","w_21_289",0.0649892647277158,0.205189893466701
"6471","w_26_295.5",0.0648256453751656,0.195256409542902
"338","w_6_126.5",0.0648107556193545,0.194970122111124
"3540","w_16_287.5",0.0647780970199882,0.19182334957619
"2939","w_14_283.5",0.064770247364653,0.182871704729272
"1728","w_10_279.5",0.064760334061041,0.172029892809985
"5606","w_23_296",0.0647221291391157,0.190218315140402
"10113","w_39_291",0.0646749200346993,0.22173094549745
"5883","w_24_284.5",0.0646528410673277,0.20808248227713
"1118","w_8_278.5",0.0646344685693537,0.16475340654106
"2893","w_14_241.5",0.0646280362325065,-0.20891862318213
"6460","w_26_285.5",0.0646242626249787,0.212764555425306
"3191","w_15_240",0.0646234715053068,-0.216022054641139
"1438","w_9_291",0.0646150016669278,0.174782104953882
"5890","w_24_290.5",0.0645824347794884,0.205530969710268
"1452","w_9_304",0.0644990199737071,0.151250025070821
"2524","w_13_179",0.0644589803416161,0.190474460762765
"4129","w_18_283.5",0.0644413376242436,0.194401777461962
"201","w_5_281",0.0644347383477968,0.148707434455553
"1924","w_11_181",0.064427621270607,0.179514398401201
"505","w_6_278.5",0.0643752802396539,0.15308895323248
"2942","w_14_286.5",0.0643744259835104,0.183639453850573
"3841","w_17_290",0.0643177509624623,0.196482569910306
"2892","w_14_240.5",0.0643133545497938,-0.213660914785634
"226","w_5_303",0.0643095367623603,0.143544298607179
"393","w_6_176.5",0.0642740844986274,0.165316664067775
"1885","w_11_146",0.0642452628836828,0.201204822836706
"5312","w_22_292.5",0.064235931506486,0.19879089957636
"1424","w_9_279",0.0642162278763226,0.166361321827518
"54","w_5_148",0.0641776226791523,0.178463303194636
"1621","w_10_181.5",0.0641758054949748,0.179532019619733
"2955","w_14_298.5",0.0641702876557589,0.182124907254228
"1006","w_8_176.5",0.0640937028045805,0.174863103225218
"6184","w_25_296",0.0640533375208147,0.190699924882617
"8455","w_33_295",0.0639827768380142,0.206236929655898
"3243","w_15_288",0.0639489102591099,0.18777101009051
"3255","w_15_299",0.0639315566972717,0.179264938481076
"8166","w_32_287.5",0.063877338058829,0.218517180970122
"3786","w_17_240",0.0638633440913148,-0.215428100460903
"6172","w_25_285",0.0638037649654932,0.207397130725722
"509","w_6_281.5",0.0637905579251958,0.153346788451074
"1442","w_9_295",0.063773396697281,0.19694047926154
"1985","w_11_237",0.0637516833034484,-0.204723782620908
"3833","w_17_283",0.0637400550555682,0.190548428389298
"3240","w_15_285",0.0637163724084787,0.184240018835017
"9560","w_37_289",0.0636840486821925,0.218355156272691
"5310","w_22_290.5",0.0636754890900101,0.201330340070959
"189","w_5_270",0.0636082485764359,-0.167540097033586
"3542","w_16_289.5",0.0635957432100424,0.190994872463979
"460","w_6_237.5",0.0635934444037577,-0.178667159980146
"10114","w_39_292",0.0635891041728858,0.216654043998998
"5024","w_21_296",0.0635853682265225,0.187228107374235
"3787","w_17_241",0.0635608932492676,-0.21176263161791
"9566","w_37_294",0.0635528505653695,0.211747657356181
"7328","w_29_296",0.0635204375950086,0.197597388746865
"9290","w_36_294.5",0.0635181454902294,0.208819265189369
"3238","w_15_283",0.0634919024213504,0.183328797496654
"5896","w_24_296.5",0.063463511087027,0.187092421989497
"5898","w_24_298.5",0.0634285519426928,0.190028478806856
"5894","w_24_294.5",0.0633969111857083,0.192572477940085
"2655","w_13_298",0.0633916891368611,0.182374667607818
"2593","w_13_241",0.0633838528030042,-0.208360827986326
"534","w_6_303.5",0.0633715601439113,0.142481790480487
"4731","w_20_295.5",0.0633709274584935,0.187952457428557
"1884","w_11_145",0.06336723722495,0.200086745498189
"826","w_7_290",0.0633659584333572,0.156485366531568
"5018","w_21_290",0.0633371305538548,0.19906277537952
"2643","w_13_287",0.063293657794128,0.178129918544561
"4724","w_20_289.5",0.0632629933332628,0.199223458656963
"2656","w_13_299",0.0631869719593644,0.176073924644608
"5604","w_23_294",0.0631723609441187,0.193341658135263
"2940","w_14_284.5",0.0629594730071249,0.17982197169591
"5321","w_22_300.5",0.0629531200626737,0.187788243137901
"9836","w_38_289.5",0.0629530730885884,0.215823157188687
"3490","w_16_241.5",0.062942084442708,-0.207689891734766
"5601","w_23_291",0.0629197987871916,0.199519147956161
"5302","w_22_283.5",0.0629187428259378,0.198048018173095
"1681","w_10_236.5",0.0629111134452475,-0.193294633256908
"1746","w_10_295.5",0.0629041271740448,0.191903224039012
"1148","w_8_305.5",0.0629039344368819,0.154187339376977
"2956","w_14_299.5",0.0629023602633062,0.17306501046124
"2018","w_11_267",0.0628968941675279,-0.196908651395201
"5019","w_21_291",0.0628797883780691,0.197790738432344
"4148","w_18_300.5",0.0628762115775848,0.179781078413431
"202","w_5_282",0.0628627688812575,0.150317502177594
"7318","w_29_287",0.0628145905207239,0.210452456726602
"5899","w_24_299.5",0.062746817739618,0.190316802610158
"5897","w_24_297.5",0.0627215066535727,0.18618298320672
"6758","w_27_296",0.0626684862933791,0.191261615445785
"1883","w_11_144",0.0626082408345874,0.198855752644784
"7602","w_30_287.5",0.0625911502909571,0.210715984829755
"8175","w_32_295.5",0.0625854398097885,0.200821312343241
"5605","w_23_295",0.0625553193078914,0.187761588606481
"2644","w_13_288",0.0625459997152535,0.176685116656317
"4726","w_20_290.5",0.0625288061437526,0.195504073086292
"4432","w_19_290",0.0624460277731932,0.195697712435829
"664","w_7_143",0.0624324812067313,0.182775592500168
"4737","w_20_300.5",0.0623758111620447,0.183863503750774
"2650","w_13_293",0.0623667405830357,0.189058287896725
"2354","w_12_298.5",0.0623627141505273,0.176199361564915
"4437","w_19_295",0.0623150485742404,0.186005417026804
"5314","w_22_294.5",0.0622995657806302,0.188391136995209
"7033","w_28_286.5",0.0622451882945972,0.207279184132031
"5593","w_23_284",0.0621954698446254,0.198360978994959
"2187","w_12_146.5",0.06219176682828,0.19534140476768
"9841","w_38_293.5",0.062181125142492,0.210098964298391
"767","w_7_237",0.0621770981443088,-0.175168617336556
"2050","w_11_296",0.0621501935219295,0.18906539497601
"5313","w_22_293.5",0.0621181555019974,0.19120843301512
"197","w_5_278",0.0621005558614287,0.14413896535936
"5311","w_22_291.5",0.0620919759306858,0.195825822470848
"2526","w_13_180",0.0620813875251476,0.178313393010247
"3487","w_16_239.5",0.0620305561190037,-0.210655777915096
"2225","w_12_180.5",0.0620298971775326,0.17561913844632
"2950","w_14_293.5",0.06199994444627,0.186716745136841
"3853","w_17_301",0.0619739193368505,0.17453435203235
"6746","w_27_285",0.0619381892662909,0.209025137540736
"10387","w_40_291.5",0.0618910764002941,0.214680786315886
"5315","w_22_295.5",0.0618868036607341,0.183872213762891
"6472","w_26_296.5",0.0618859118415831,0.186816164834994
"6747","w_27_286",0.0618486321523657,0.205963058459384
"2186","w_12_145.5",0.061848245267126,0.197757198346483
"7894","w_31_296",0.0618223866004183,0.197246063792106
"3250","w_15_294",0.061818038728347,0.186571362992043
"1072","w_8_236.5",0.0617986468253153,-0.176476420713409
"645","w_7_126",0.0617966210950691,0.192581259836651
"6171","w_25_284",0.0617918065868613,0.204276146634525
"151","w_5_236",0.0617307930700063,-0.160103823174495
"2189","w_12_148.5",0.0617141268819892,0.196533785969332
"3193","w_15_242",0.0616727216395092,-0.20043690459483
"175","w_5_258",0.0616637524564826,0.130265831046157
"4082","w_18_240.5",0.061611019288362,-0.208878862655267
"5023","w_21_295",0.061595607139731,0.184353721807059
"5010","w_21_283",0.0615922311476896,0.192177771406331
"1453","w_9_305",0.061584106757952,0.152760364329606
"9283","w_36_288.5",0.0615069627941593,0.212832281726611
"2019","w_11_268",0.0614533201557834,-0.196752702384374
