"","comp.1","comp.2","Year","week"
"1",0.999999992808898,7.19110180823955e-09,"1968",22
"2",0.944022881747604,0.0559771182523963,"1969",27
"3",0.99999579963872,4.20036127998648e-06,"1970",24
"4",0.99999579963872,4.20036127998648e-06,"1970",24
"5",0.99999579963872,4.20036127998648e-06,"1970",24
"6",0.99989849419027,0.000101505809730209,"1970",25
"7",0.997552530573321,0.00244746942667876,"1970",26
"8",0.00119320187909787,0.998806798120902,"1970",30
"9",0.999999992808898,7.19110180823955e-09,"1971",22
"10",0.99999579963872,4.20036127998648e-06,"1971",24
"11",0.99989849419027,0.000101505809730209,"1971",25
"12",0.99989849419027,0.000101505809730209,"1971",25
"13",0.999999999702458,2.97542443520014e-10,"1974",21
"14",0.999999999702458,2.97542443520014e-10,"1974",21
"15",0.99999579963872,4.20036127998648e-06,"1974",24
"16",0.999999826203158,1.73796841706586e-07,"1975",23
"17",0.999999826203158,1.73796841706586e-07,"1975",23
"18",0.999999826203158,1.73796841706586e-07,"1975",23
"19",0.999999826203158,1.73796841706586e-07,"1975",23
"20",0.999999826203158,1.73796841706586e-07,"1975",23
"21",0.99999579963872,4.20036127998648e-06,"1975",24
"22",0.99989849419027,0.000101505809730209,"1975",25
"23",0.99989849419027,0.000101505809730209,"1975",25
"24",0.997552530573321,0.00244746942667876,"1975",26
"25",0.999999992808898,7.19110180823955e-09,"1976",22
"26",0.999999992808898,7.19110180823955e-09,"1976",22
"27",0.999999992808898,7.19110180823955e-09,"1976",22
"28",0.999999992808898,7.19110180823955e-09,"1976",22
"29",0.999999826203158,1.73796841706586e-07,"1976",23
"30",0.999999826203158,1.73796841706586e-07,"1976",23
"31",0.999999826203158,1.73796841706586e-07,"1976",23
"32",0.999999826203158,1.73796841706586e-07,"1976",23
"33",0.999999826203158,1.73796841706586e-07,"1976",23
"34",0.999999826203158,1.73796841706586e-07,"1976",23
"35",0.999999826203158,1.73796841706586e-07,"1976",23
"36",0.999999826203158,1.73796841706586e-07,"1976",23
"37",0.99989849419027,0.000101505809730209,"1976",25
"38",0.944022881747604,0.0559771182523963,"1976",27
"39",8.46238650465685e-08,0.999999915376135,"1976",33
"40",0.999999999999491,5.09396427994172e-13,"1977",19
"41",0.999999992808898,7.19110180823955e-09,"1977",22
"42",0.99999579963872,4.20036127998648e-06,"1977",24
"43",0.99999579963872,4.20036127998648e-06,"1977",24
"44",0.99989849419027,0.000101505809730209,"1977",25
"45",0.944022881747604,0.0559771182523963,"1977",27
"46",0.0280619306626163,0.971938069337384,"1977",29
"47",0.999999999702458,2.97542443520014e-10,"1978",21
"48",0.999999992808898,7.19110180823955e-09,"1978",22
"49",0.999999992808898,7.19110180823955e-09,"1978",22
"50",0.999999992808898,7.19110180823955e-09,"1978",22
"51",0.999999992808898,7.19110180823955e-09,"1978",22
"52",0.999999992808898,7.19110180823955e-09,"1978",22
"53",0.999999826203158,1.73796841706586e-07,"1978",23
"54",0.99989849419027,0.000101505809730209,"1978",25
"55",0.944022881747604,0.0559771182523963,"1978",27
"56",0.999999826203158,1.73796841706586e-07,"1979",23
"57",0.0280619306626163,0.971938069337384,"1979",29
"58",0.0280619306626163,0.971938069337384,"1979",29
"59",0.999999999987689,1.23112573666216e-11,"1980",20
"60",0.999999999987689,1.23112573666216e-11,"1980",20
"61",0.999999999987689,1.23112573666216e-11,"1980",20
"62",0.999999999702458,2.97542443520014e-10,"1980",21
"63",0.999999999702458,2.97542443520014e-10,"1980",21
"64",0.999999999702458,2.97542443520014e-10,"1980",21
"65",0.999999999702458,2.97542443520014e-10,"1980",21
"66",0.999999999702458,2.97542443520014e-10,"1980",21
"67",0.999999999702458,2.97542443520014e-10,"1980",21
"68",0.999999992808898,7.19110180823955e-09,"1980",22
"69",0.999999992808898,7.19110180823955e-09,"1980",22
"70",0.999999826203158,1.73796841706586e-07,"1980",23
"71",0.99999579963872,4.20036127998648e-06,"1980",24
"72",0.944022881747604,0.0559771182523963,"1980",27
"73",0.999999999987689,1.23112573666216e-11,"1981",20
"74",0.999999999702458,2.97542443520014e-10,"1981",21
"75",0.999999999702458,2.97542443520014e-10,"1981",21
"76",0.999999999702458,2.97542443520014e-10,"1981",21
"77",0.99989849419027,0.000101505809730209,"1981",25
"78",0.99999579963872,4.20036127998648e-06,"1982",24
"79",3.50143748851347e-09,0.999999996498562,"1982",34
"80",0.99989849419027,0.000101505809730209,"1983",25
"81",0.99989849419027,0.000101505809730209,"1983",25
"82",8.46238650465685e-08,0.999999915376135,"1983",33
"83",0.999999999702458,2.97542443520014e-10,"1984",21
"84",0.999999992808898,7.19110180823955e-09,"1984",22
"85",0.999999826203158,1.73796841706586e-07,"1984",23
"86",3.50143748851347e-09,0.999999996498562,"1984",34
"87",3.50143748851347e-09,0.999999996498562,"1984",34
"88",0.999999826203158,1.73796841706586e-07,"1985",23
"89",0.99999579963872,4.20036127998648e-06,"1986",24
"90",0.99999579963872,4.20036127998648e-06,"1986",24
"91",0.99989849419027,0.000101505809730209,"1986",25
"92",0.944022881747604,0.0559771182523963,"1986",27
"93",0.410999410301857,0.589000589698143,"1986",28
"94",1.02626689198616e-14,0.99999999999999,"1986",38
"95",0.99999579963872,4.20036127998648e-06,"1987",24
"96",0.999999992808898,7.19110180823955e-09,"1988",22
"97",0.999999992808898,7.19110180823955e-09,"1988",22
"98",0.999999992808898,7.19110180823955e-09,"1988",22
"99",0.99999579963872,4.20036127998648e-06,"1988",24
"100",0.99999579963872,4.20036127998648e-06,"1988",24
"101",0.99999579963872,4.20036127998648e-06,"1988",24
