"","namestmean","r2","es"
"522","w_6_293.5",0.131266345416982,0.520954651858971
"7885","w_31_288",0.131197724051169,0.677168899852927
"5890","w_24_290.5",0.131182605309149,0.634319767111188
"4132","w_18_286.5",0.13114222459164,0.598317112269584
"829","w_7_293",0.131084620102789,0.517320568914321
"6179","w_25_291",0.131060732746065,0.631784305392161
"8166","w_32_287.5",0.130939916387988,0.693736058494096
"7318","w_29_287",0.130904351794369,0.674943191488018
"7601","w_30_286.5",0.13072375647875,0.693048751010672
"4130","w_18_284.5",0.130720954128067,0.59563924736569
"4430","w_19_289",0.130592652570068,0.61153033043284
"7602","w_30_287.5",0.130550288141621,0.676402414846825
"213","w_5_292",0.130395819436767,0.466157401364559
"7884","w_31_287",0.13035186147071,0.693866860031307
"9287","w_36_291.5",0.13023472277307,0.673725554748426
"2652","w_13_295",0.130227358486624,0.562241346758335
"520","w_6_291.5",0.130137886316354,0.482279028196149
"5011","w_21_284",0.129744369499455,0.622607086119126
"1135","w_8_293.5",0.1295085702807,0.52549677739964
"4724","w_20_289.5",0.129439030312714,0.612924135062182
"5303","w_22_284.5",0.129184502906214,0.629988196999468
"9286","w_36_290.5",0.129139251327792,0.673287077800516
"9562","w_37_290",0.129033048547857,0.688082531922292
"1137","w_8_295.5",0.128993139765752,0.54987737286166
"5018","w_21_290",0.128752386892793,0.614501295481218
"830","w_7_294",0.127918177569995,0.522771429974522
"9011","w_35_293",0.127327064846926,0.654869581866493
"6468","w_26_292.5",0.127019275244293,0.608359609358147
"4425","w_19_284",0.12695121996981,0.596085052419578
"9288","w_36_292.5",0.126826197550372,0.661901534388844
"6755","w_27_293",0.126825511998018,0.606616018670082
"4429","w_19_288",0.126741598046938,0.59945457201731
"8733","w_34_293.5",0.126623714118289,0.640507308991854
"828","w_7_292",0.12628120147421,0.49584216855349
"2348","w_12_292.5",0.125940653073359,0.554286743590327
"9283","w_36_288.5",0.125934665650355,0.687199766904449
"8173","w_32_293.5",0.125808393142381,0.625807883431321
"52","w_5_146",0.125599080976729,0.324598079546617
"214","w_5_293",0.125351098400488,0.482224490348675
"3538","w_16_285.5",0.125343184941894,0.564612753312659
"4133","w_18_287.5",0.125199579531362,0.586716500988749
"7609","w_30_293.5",0.125170449185595,0.613621731295393
"9005","w_35_288",0.125154351418778,0.68565631130585
"10381","w_40_286.5",0.125119473435203,0.725876112391972
"5310","w_22_290.5",0.125055944177428,0.605497800475194
"9564","w_37_292",0.124938758787526,0.662853602633368
"6180","w_25_292",0.124934257241222,0.604668799958649
"2351","w_12_295.5",0.124561908734658,0.534609118493591
"216","w_5_295",0.124520579521767,0.505633191122053
"10107","w_39_286",0.12439904464815,0.72555097872761
"9560","w_37_289",0.124297676130472,0.680415316202944
"6459","w_26_284.5",0.124267473966985,0.661040186918228
"1121","w_8_280.5",0.12426008300244,0.460735290882518
"2952","w_14_295.5",0.124227516047741,0.543185774863173
"7041","w_28_293.5",0.124211180551008,0.598272591607999
"6172","w_25_285",0.124088760461573,0.639076231277645
"217","w_5_296",0.124050957581905,0.528637766883994
"815","w_7_280",0.124001512130475,0.441774428908561
"9838","w_38_290.5",0.123973439410761,0.67752476910423
"9563","w_37_291",0.123961232771717,0.662720126385391
"10654","w_41_287",0.123583714421256,0.718248235345358
"5891","w_24_291.5",0.123572480573934,0.600101310943942
"5601","w_23_291",0.12356298551766,0.602370000104596
"521","w_6_292.5",0.1234653051963,0.472321702721677
"2650","w_13_293",0.123363737949974,0.552801181151318
"4718","w_20_283.5",0.123203894957671,0.598145969364396
"1443","w_9_296",0.123087405385255,0.536983943610949
"8161","w_32_282.5",0.122734546218838,0.735674145903777
"2050","w_11_296",0.122639958315798,0.533384224074463
"3239","w_15_284",0.122598548267051,0.551587178979183
"2951","w_14_294.5",0.122587886202159,0.544295168936899
"4135","w_18_289.5",0.122581425732191,0.583177181111762
"6171","w_25_284",0.122562952597244,0.65015878637579
"5883","w_24_284.5",0.122360329664837,0.627586440720816
"1743","w_10_292.5",0.122343863336477,0.525661546308596
"10653","w_41_286",0.122306481325555,0.725007632626379
"8726","w_34_287.5",0.12220915542127,0.677469088602243
"3539","w_16_286.5",0.122201762248005,0.557921258907615
"10108","w_39_287",0.122149354211395,0.704967492599676
"8722","w_34_283.5",0.122123956587926,0.730266103233478
"9832","w_38_285.5",0.121912368108317,0.720819375390291
"8442","w_33_283",0.121795807766735,0.729227289009681
"4432","w_19_290",0.121642725659638,0.584895228985337
"3537","w_16_284.5",0.121600917790518,0.554733244109108
"3848","w_17_297",0.121501692270767,0.523539375710814
"9833","w_38_286.5",0.121463205290463,0.704957040368313
"10380","w_40_285.5",0.121433735300236,0.723921800923575
"7600","w_30_285.5",0.121330982435916,0.674361174439043
"3837","w_17_287",0.121291973971364,0.565975064583105
"3252","w_15_296",0.121080666858233,0.527965154155511
"4726","w_20_290.5",0.121080523123914,0.58631464504783
"9289","w_36_293.5",0.121032033402249,0.64097443049257
"7031","w_28_284.5",0.120969057120271,0.669617500314344
"10925","w_42_286.5",0.120900691975759,0.717684018234959
"7316","w_29_285",0.120739202178691,0.670070297708911
"14355","w_55_279",0.120737233082042,0.775203866875625
"9565","w_37_293",0.120686516276124,0.648184288508779
"10382","w_40_287.5",0.120605922481074,0.697308909947186
"2950","w_14_293.5",0.120553255190978,0.545904029437696
"1439","w_9_292",0.12039175264186,0.507244684486972
"3550","w_16_296.5",0.120364087059913,0.524344806887752
"14612","w_56_278.5",0.120330482654694,0.774659463557325
"9012","w_35_294",0.120182208217742,0.626357167780395
"9556","w_37_285",0.120149593052598,0.715623073498602
"9001","w_35_284",0.120088392737126,0.721366782407678
"4144","w_18_297.5",0.12008240905417,0.518872442130546
"8446","w_33_287",0.120060950066951,0.669201433682404
"6181","w_25_293",0.120044092093867,0.581008156739606
"6469","w_26_293.5",0.120005518835829,0.579749975734282
"200","w_5_280",0.119929250239817,0.410634599766631
"8454","w_33_294",0.11991830529632,0.613416977343985
"9279","w_36_284.5",0.119863200843996,0.720318987237794
"14096","w_54_278.5",0.119834117374319,0.773825007116299
"9559","w_37_288",0.11967431054856,0.676385696319018
"212","w_5_291",0.119615797286502,0.444143539704907
"9836","w_38_289.5",0.119591959808612,0.666602706518333
"14354","w_55_278",0.119424550404377,0.773260753419579
"9834","w_38_287.5",0.119406234875508,0.685939309129259
"5592","w_23_283",0.119395622955693,0.626772701501646
"14613","w_56_279.5",0.119388921069729,0.766511938371154
"10926","w_42_287.5",0.11926108785596,0.704644277885025
"5302","w_22_283.5",0.119251064354964,0.603567473212487
"10113","w_39_291",0.119225228859761,0.667930407896847
"5882","w_24_283.5",0.119218035616066,0.633322310803852
"7883","w_31_286",0.119209229973908,0.667206608493742
"12255","w_47_275",0.119206889013409,0.800562306009196
"8165","w_32_286.5",0.119176032099182,0.668617469045855
"8441","w_33_282",0.119085146461689,0.732830270638124
"9839","w_38_291.5",0.119067397322901,0.652842464061223
"5593","w_23_284",0.119040141771926,0.610686406301272
"14870","w_57_279",0.11901498096256,0.766054341385617
"9840","w_38_292.5",0.118985164901903,0.649317263012289
"7880","w_31_283",0.11894099651966,0.709747940979896
"9557","w_37_286",0.118917139990545,0.700029160673822
"7892","w_31_294",0.118895192613521,0.599977614268482
"10106","w_39_285",0.118840370350409,0.718516223161333
"14869","w_57_278",0.118809800207508,0.7657154203494
"9282","w_36_287.5",0.118788654528617,0.674798532973289
"8443","w_33_284",0.11870737434357,0.706744180563301
"12520","w_48_274.5",0.118697146201523,0.799243939942431
"9000","w_35_283",0.118655520267178,0.727400969533886
"9558","w_37_287",0.118611440473387,0.685233955078931
"14097","w_54_279.5",0.118597318931939,0.763605226609653
"10924","w_42_285.5",0.118420041199048,0.716577836647639
"4134","w_18_288.5",0.118371230501263,0.566135055420059
"2653","w_13_296",0.11828348052649,0.514895290957544
"8721","w_34_282.5",0.118252828040272,0.726365747686974
"9835","w_38_288.5",0.118241018715157,0.669861949747252
"8162","w_32_283.5",0.118225359969201,0.704785555443344
"7326","w_29_294",0.11822115037893,0.583113561103886
"3536","w_16_283.5",0.118143250441879,0.549186473506175
"3251","w_15_295",0.118075998878402,0.530338034422877
"12786","w_49_276",0.118062195939619,0.786937335468685
"813","w_7_279",0.118054737099848,0.436600484375639
"10109","w_39_288",0.117957186542561,0.678928528185923
"12521","w_48_275.5",0.117940419175065,0.788552018396623
"13836","w_53_278",0.117909593916618,0.771628176939216
"5892","w_24_292.5",0.117903562538201,0.577735919603937
"14611","w_56_277.5",0.117877723164656,0.764054883018762
"13049","w_50_275.5",0.117660487026233,0.786364622806303
"13837","w_53_279",0.117632134438468,0.761817931834654
"5019","w_21_291",0.117621482934151,0.57802272386835
"6756","w_27_294",0.117617073175626,0.572324515272858
"3834","w_17_284",0.117588595956744,0.55331426820798
"15125","w_58_278.5",0.11754210482093,0.757301259885814
"14095","w_54_277.5",0.117533977587028,0.771192896537509
"12785","w_49_275",0.117503791820133,0.787738319932465
"4143","w_18_296.5",0.117449715562804,0.518593499609035
"3841","w_17_290",0.117440004137533,0.558110479031138
"10652","w_41_285",0.117409289467054,0.714816946488819
"13318","w_51_281",0.117355573248849,0.745327708587341
"14357","w_55_280",0.117331222442236,0.755472665277806
"11195","w_43_286",0.117152862703944,0.709610385012929
"9280","w_36_285.5",0.117088721410579,0.694479211294391
"9831","w_38_284.5",0.116986337728932,0.712882839787967
"12784","w_49_274",0.11696911755148,0.787881808829967
"13839","w_53_280",0.11678897584239,0.752813679469127
"8723","w_34_284.5",0.116786802377271,0.698624346730827
"9278","w_36_283.5",0.116763002679383,0.718600664167596
"11196","w_43_287",0.116750184591841,0.704340262633074
"13056","w_50_281.5",0.116714329711061,0.735706839290714
"4137","w_18_290.5",0.116676406005422,0.560860497890596
"9002","w_35_285",0.116662403826027,0.698199755823974
"9555","w_37_284",0.116621451725177,0.717497364749047
"13575","w_52_277.5",0.116529556291011,0.768518542556013
"3838","w_17_288",0.116474730709291,0.552383851618072
"11989","w_46_275.5",0.116447144404916,0.784809475893738
"4439","w_19_297",0.116438732561076,0.514905565965111
"5602","w_23_292",0.116432961170204,0.573044194793296
"13055","w_50_280.5",0.116329668000712,0.743192921729592
"5311","w_22_291.5",0.116254162082517,0.574931606265509
"10655","w_41_288",0.116228102654054,0.683426736081301
"4433","w_19_291",0.116218195715044,0.56286234880505
"13050","w_50_276.5",0.116216704667174,0.774757837649826
"13835","w_53_277",0.11618686644805,0.768211572129918
"4440","w_19_298",0.116182725942554,0.508598784881343
"13579","w_52_280.5",0.11617406881815,0.746342950357515
"13580","w_52_281.5",0.116116774363229,0.737640545142205
"3549","w_16_295.5",0.11609478809299,0.519798239023978
"14353","w_55_277",0.116031779724515,0.762038963036187
"13311","w_51_275",0.116024285443742,0.775856575292329
"3847","w_17_296",0.116020531859553,0.518483069166612
"13313","w_51_277",0.116015853219004,0.772020445819841
"14871","w_57_280",0.115869356982967,0.753010698716701
"9281","w_36_286.5",0.115866648937052,0.678996491078803
"13312","w_51_276",0.115861951932613,0.774346544553078
"9004","w_35_287",0.115856691065881,0.667122636171677
"13048","w_50_274.5",0.115829845216358,0.776857227869924
"13577","w_52_279.5",0.115780523128607,0.750787634315393
"2352","w_12_296.5",0.115737666437789,0.510704744795846
"12792","w_49_281",0.115732807412345,0.733937078835248
"13574","w_52_276.5",0.115670300626383,0.771612147428574
"3551","w_16_297.5",0.115624049891523,0.495584285359218
"13576","w_52_278.5",0.115601042090531,0.758909549578391
"15126","w_58_279.5",0.115586512137293,0.752933162009433
"14099","w_54_280.5",0.115577211812844,0.745018329161029
"13319","w_51_282",0.115490039245187,0.728176687161271
"12522","w_48_276.5",0.115457876716128,0.772283388794963
"5893","w_24_293.5",0.115340234446542,0.558040583941655
"6182","w_25_294",0.115279301549178,0.556638209614906
"197","w_5_278",0.115256110725908,0.415903391713927
"12256","w_47_276",0.115253888942311,0.773353218662815
"1444","w_9_297",0.115230869257224,0.504556933537658
"13317","w_51_280",0.115159195641575,0.744369244488289
"11185","w_43_277",0.115150475854309,0.765896529364899
"15124","w_58_277.5",0.11508125376075,0.747145047035798
"11197","w_43_288",0.115018667977588,0.695311722097677
"10112","w_39_290",0.114989326999434,0.656945944655378
"2953","w_14_296.5",0.114955124098349,0.498866520744611
"13840","w_53_281",0.114943255221123,0.738454232542183
"8163","w_32_284.5",0.11493420957915,0.680932841470756
"11194","w_43_285",0.11477575491772,0.710969822480478
"14094","w_54_276.5",0.114720118148502,0.759131173417111
"10379","w_40_284.5",0.11468216668962,0.708497640272986
"12793","w_49_282",0.11464805422126,0.72690103653924
"215","w_5_294",0.114641254361336,0.476569552084712
"7598","w_30_283.5",0.114576671455225,0.679784977492726
"3833","w_17_283",0.11456555697429,0.550671600599577
"7879","w_31_282",0.114563429902569,0.705448670013879
"7882","w_31_285",0.114537906844425,0.664906753545007
"3241","w_15_286",0.1145172461629,0.529417540081836
"11722","w_45_276",0.114421823070395,0.772956492432211
"3849","w_17_298",0.11433448505588,0.491753659821451
"13573","w_52_275.5",0.114332998040999,0.764613336542316
"505","w_6_278.5",0.11427612588379,0.42050737235259
"3253","w_15_297",0.114232416017566,0.495198645918147
"7881","w_31_284",0.114232104184824,0.677455566088225
"4129","w_18_283.5",0.114225200072666,0.55458476590085
"15381","w_59_279",0.114214102618405,0.744504867194263
"13834","w_53_276",0.1141805826906,0.762172510306248
"10915","w_42_277.5",0.114152599845276,0.752807829806499
"12791","w_49_280",0.114125475303396,0.739357831927487
"13314","w_51_278",0.114118747846221,0.755180460914591
"11724","w_45_278",0.114116103822576,0.753318830545457
"8720","w_34_281.5",0.114102629044193,0.720294690809977
"14868","w_57_277",0.114055065049709,0.744748605214628
"1426","w_9_280",0.114045230437811,0.451237072870143
"11455","w_44_277.5",0.113971973371815,0.754901224721226
"7315","w_29_284",0.113931005433094,0.661044646538165
"9277","w_36_282.5",0.11392742013839,0.715359808383239
"15380","w_59_278",0.113923393166645,0.73923291206667
"9003","w_35_286",0.113875604004335,0.672421161928691
"14615","w_56_280.5",0.113849045494848,0.742218225616771
"11454","w_44_276.5",0.113837032737761,0.767397254444072
"10110","w_39_289",0.113801130909525,0.656237914471875
"7599","w_30_284.5",0.113788849574429,0.660676874091512
"11988","w_46_274.5",0.113749939771413,0.782145435896725
"10387","w_40_291.5",0.113749589620723,0.655189255695507
"8725","w_34_286.5",0.113722171005787,0.659390388341478
"12787","w_49_277",0.113687448765418,0.760735703391537
"13315","w_51_279",0.11368493542329,0.747524719171746
"10923","w_42_284.5",0.113653341206951,0.708741980981025
"11464","w_44_285.5",0.113639832088169,0.704285209780329
"12528","w_48_281.5",0.113625947422691,0.725031093194003
"10383","w_40_288.5",0.113584923969413,0.665173237699872
"13051","w_50_277.5",0.113546466645957,0.758353075502043
"13057","w_50_282.5",0.113519627542836,0.71982737801213
"8734","w_34_294.5",0.113514881168527,0.599141155774026
"3250","w_15_294",0.113499045657081,0.523894949434974
"10114","w_39_292",0.113488665282457,0.640122748167191
"12527","w_48_280.5",0.11348499665764,0.729838535410207
"525","w_6_296.5",0.113484025692676,0.501695591153127
"12257","w_47_277",0.113478044417225,0.760715326363643
"8999","w_35_282",0.113429946682018,0.714192494896084
"12254","w_47_274",0.113335187067595,0.780890138291016
"5603","w_23_293",0.113288495906746,0.55546321941529
"11990","w_46_276.5",0.113265516405484,0.761806136509836
"11456","w_44_278.5",0.113235165693281,0.741420330066153
"1427","w_9_281",0.11321138457532,0.442343108487383
"7596","w_30_281.5",0.113192830360293,0.699178534224473
"11465","w_44_286.5",0.113192465717491,0.696579181251671
"8724","w_34_285.5",0.113171356233199,0.674222615390254
"8444","w_33_285",0.113135369273015,0.673656988811045
"2649","w_13_292",0.113105804673713,0.518873460989413
"8174","w_32_294.5",0.11307209070197,0.587621707689563
"11186","w_43_278",0.113042267247439,0.74256456777132
"13053","w_50_279.5",0.11301026099397,0.740924143906517
"6470","w_26_294.5",0.113003821389358,0.549693636246425
"827","w_7_291",0.113002694916731,0.444586813456509
"4733","w_20_297.5",0.112999599152303,0.505583987366083
"11720","w_45_274",0.112973130850371,0.779499198347091
"5301","w_22_282.5",0.11292827984382,0.603060367131278
"3254","w_15_298",0.112896557337988,0.488562244044412
"11991","w_46_277.5",0.112885358167067,0.754938034304206
"8445","w_33_286",0.11282267367319,0.65949477184475
"4727","w_20_291.5",0.11280384679391,0.554980748737039
"10105","w_39_284",0.112732065278729,0.702296290616885
"8164","w_32_285.5",0.112723626571868,0.658193053164699
"11723","w_45_277",0.11270585683599,0.756411975739425
"5010","w_21_283",0.112682303559541,0.579261069224021
"11466","w_44_287.5",0.112668564566234,0.69526047080298
"11987","w_46_273.5",0.112551080207737,0.777964595474232
"12525","w_48_279.5",0.112549251017518,0.735157933573353
"13841","w_53_282",0.112538358541628,0.72439052907285
"15127","w_58_280.5",0.112405425689122,0.742936775511311
"13047","w_50_273.5",0.112352279470649,0.762663554590348
"3242","w_15_287",0.112251905666281,0.518632220971348
"1119","w_8_279.5",0.112226653164677,0.431328360444036
"11992","w_46_278.5",0.112215263968088,0.7413956003365
"523","w_6_294.5",0.112208825048999,0.480373449963406
"9830","w_38_283.5",0.112200128535792,0.706068959752748
"9554","w_37_283",0.112190141709544,0.706730348134027
"15382","w_59_280",0.112179449245182,0.742921379951249
"14610","w_56_276.5",0.112170656004494,0.742151370808938
"13052","w_50_278.5",0.112154331736046,0.743593682725845
"2654","w_13_297",0.112124340839616,0.492511168671447
"14358","w_55_281",0.112098480184904,0.731789721538947
"7610","w_30_294.5",0.112090534719114,0.569933620392652
"2940","w_14_284.5",0.112049626847639,0.516216583802887
"12259","w_47_279",0.112033751184243,0.738815087530792
"10927","w_42_288.5",0.111971114526234,0.674000001563568
"1133","w_8_291.5",0.11192878440977,0.462987357375567
"13581","w_52_282.5",0.111920714736441,0.715222639600665
"3540","w_16_287.5",0.111914476234201,0.528908237245947
"12261","w_47_280",0.111867608777126,0.725357242609884
"9566","w_37_294",0.111849462482185,0.61412369578363
"7042","w_28_294.5",0.111833519507813,0.558082280125916
"5312","w_22_292.5",0.111823505786431,0.55096213013975
"12529","w_48_282.5",0.111755377379149,0.712554705271178
"12519","w_48_273.5",0.111738865227829,0.76976818884414
"9841","w_38_293.5",0.111705274215511,0.621627145429536
"12523","w_48_277.5",0.111704942688162,0.749234945261915
"6745","w_27_284",0.111682467260176,0.633663580136716
"13572","w_52_274.5",0.111665670871836,0.752340948187883
"2949","w_14_292.5",0.111623471097293,0.519791648666175
"12788","w_49_278",0.111582214437082,0.746897959876924
"5020","w_21_292",0.111539263925747,0.552389803397536
"3552","w_16_298.5",0.111501540179252,0.484055201041191
"12789","w_49_279",0.11145471633578,0.736928603969833
"816","w_7_281",0.111430685358535,0.421034272579081
"4438","w_19_296",0.111425875673926,0.508074533475943
"11725","w_45_279",0.111421501025181,0.730498989669574
"3240","w_15_285",0.111417992701116,0.520621516301583
"14100","w_54_281.5",0.111398440540161,0.724947000320237
"13310","w_51_274",0.111375765687873,0.752719716372316
"2954","w_14_297.5",0.111338385228719,0.487991454596924
"11993","w_46_279.5",0.111330881293651,0.728743441885172
"10644","w_41_278",0.111290016640324,0.739431160674881
"12262","w_47_281",0.11127405197804,0.720368042162672
"8160","w_32_281.5",0.111098074845798,0.703198935392692
"4128","w_18_282.5",0.11107430338348,0.554006676097149
"11467","w_44_288.5",0.111062671399624,0.687231164311329
"12258","w_47_278",0.111046364753263,0.743022542169881
"11721","w_45_275",0.110921435360392,0.766276515707103
"12253","w_47_273",0.110916611960005,0.766412075769878
"12524","w_48_278.5",0.110898435853539,0.74045096296027
"15635","w_60_279.5",0.110896261389534,0.734683466106838
"10651","w_41_284",0.110879604343186,0.702177993407728
"4732","w_20_296.5",0.110875030478925,0.50563011358266
"9290","w_36_294.5",0.110871210204961,0.599460033808892
"4424","w_19_283",0.110833436758202,0.557243113494085
"14352","w_55_276",0.110802858968961,0.7386724448716
"15634","w_60_278.5",0.1107413251599,0.726831702934028
"12263","w_47_282",0.110713122051253,0.710757435400468
"508","w_6_280.5",0.110697811422883,0.401093668828458
"12794","w_49_283",0.110694671131466,0.705747827614079
"10386","w_40_290.5",0.11067121365024,0.648266132879611
"11187","w_43_279",0.110634174531752,0.729639945096225
"4145","w_18_298.5",0.110572108600166,0.482371378211987
"7597","w_30_282.5",0.110566617192349,0.678447664412038
"11451","w_44_273.5",0.110515401427105,0.768540757472197
"14872","w_57_281",0.110408640636256,0.732368698279346
"10916","w_42_278.5",0.110313265618717,0.730003776063767
"11181","w_43_273",0.110293585890945,0.765922972766587
"10115","w_39_293",0.110283677063061,0.623327689321239
"3548","w_16_294.5",0.110271990281011,0.513920557764961
"13833","w_53_275",0.110144151390156,0.742063968992507
"11719","w_45_273",0.110143013190633,0.767075466899637
"14093","w_54_275.5",0.110121436099099,0.740475605225733
"1747","w_10_296.5",0.110085058584913,0.494606025557468
"11452","w_44_274.5",0.110070261839099,0.763424366827985
"3249","w_15_293",0.110070020697557,0.517118742538257
"13320","w_51_283",0.110014413710657,0.707245155608082
"7312","w_29_281",0.109975279506016,0.684700787563246
"11450","w_44_272.5",0.109962323164491,0.764740301143258
"2939","w_14_283.5",0.109913123744165,0.506691259954698
"11733","w_45_286",0.109868108886097,0.691617187733673
"3839","w_17_289",0.109856586949154,0.536354050129301
"7878","w_31_281",0.109793178722237,0.697900760678156
"4142","w_18_295.5",0.109718183946782,0.50719432005522
